"","CtrlBF_fpkm","CtrlBF_1_fpkm","CtrlDM_fpkm","CtrlDM_1_fpkm","CtrlTL_fpkm","CtrlTL_1_fpkm","hCO_wo_Tc_fpkm","hCO_wo_Tc_1_fpkm"
"aDC",0.018316939691999,0.0295045758041087,0.0742615771877942,0.025238750268132,0.197875479628731,0.106630656053016,4.84943887777178e-19,0
"Adipocytes",0,5.47569660732842e-20,0,1.38726886138846e-19,1.47514334247655e-19,0,0,0.000468232475747393
"Astrocytes",0,3.7248006849328e-20,4.54339687970529e-19,2.98081946246277e-19,0.00609218991091452,0.00333076124488042,1.70210379259477e-19,8.9121933521318e-19
"B-cells",0.00357376570320877,0.00197159975651083,4.0690314150693e-22,0,0.00127918435121413,0.00172594953593069,2.36571261112137e-19,0
"Basophils",0.00408431894912943,0.00272426011359537,0,0.019877737794598,0,0.00895471895000788,0.000967765584472578,0.00789312969897299
"CD4+ memory T-cells",0.00243708375443746,0.00256083413076104,0.00327812981011591,0,0.0073564442989059,0.00215481946892705,1.03575601171627e-19,5.33390438597951e-20
"CD4+ naive T-cells",0.0141786005240408,0.0013608452548481,0.00257103438108242,5.63684724608192e-19,0.0019550151941354,0.00370695067785145,1.31582675659963e-22,1.40913857828624e-19
"CD4+ T-cells",0.00550221523158728,0.00105491998884651,0.00271190936707359,0,0.00463952837139809,0.00309987018074194,0,1.40168856443916e-18
"CD4+ Tcm",0,2.96133387899784e-19,0,0,1.14177626828801e-18,0,0.00408557867534921,0
"CD4+ Tem",0.107089063318393,0.0644845553676444,0.0629441492128247,0.0401509018558036,0.0877978881546764,0.0483063301014931,7.38404915099095e-20,1.35162407840878e-18
"CD8+ naive T-cells",0.00112750222405255,6.48868300816224e-05,0.00309789527398336,0.000752975419240106,6.29194026489687e-21,0.001548178143139,5.27197727552041e-20,3.28841589621273e-19
"CD8+ T-cells",0.0603919917139792,0.0353226498852594,0.0352715396997902,0.0148261912729269,0.0367904061348768,0.0166605115585209,0,0
"CD8+ Tcm",0.0777412951260237,0.0516617755391619,0.0472821052243375,0.0284799680637143,0.0586087634472741,0.0284640135488791,3.09008374231677e-19,0
"CD8+ Tem",0.0233701090166256,0.0144461598421682,0.017424342756994,0.0094075210994694,0.0255544662747993,0.010534753488933,1.28681446310625e-18,3.81142998885761e-18
"cDC",9.98346168469162e-21,0.000155895620824213,0.00106889846052318,0.00567286117096571,0.00113217328445404,0.0017217983002791,2.08412426252796e-23,5.12544914367092e-21
"Chondrocytes",1.26760211858222e-19,0,0.00220581747079313,9.64375920519834e-19,0.00106522386145365,0.000371593244362416,0,2.48087937706069e-18
"Class-switched memory B-cells",0,0,0,0,0,0.000234353856299329,0.000310103521675981,0.000997277079711585
"CLP",7.54225818601712e-23,0.00188927362397821,0.00174157719188128,5.54977420804443e-21,0.0017644682999356,0.00103587653427509,0.000139767263716319,8.42904676818335e-22
"CMP",1.18142988959712e-18,0,0,0,0,0,8.06279750523336e-05,0.00135579821239803
"DC",1.89089126737441e-20,0,3.62763012004665e-05,8.17301611978655e-20,0.0023433062985227,0.00049561178570016,0,0
"Endothelial cells",0,3.91848095398498e-20,0,0,2.98280641298074e-19,0,7.93339772582873e-19,3.95121231797605e-19
"Eosinophils",1.50966046338104e-19,6.04352609823199e-19,0,0,0,5.60615642680201e-19,6.17987181550939e-21,0
"Epithelial cells",9.86482580419854e-20,0,0,4.37830881633379e-21,3.38063337125444e-21,2.22851338015992e-20,3.77436320910489e-20,2.50084655353599e-20
"Erythrocytes",1.80461631857752e-20,6.20017823668759e-21,0,0,4.47461847589945e-20,4.77544739254578e-21,0,0
"Fibroblasts",0,0,0.0160618736268859,7.85473487027369e-19,0.0536258655588795,0.00584026984684666,2.35484775422338e-19,0.0226843890779245
"GMP",0,3.77701261116579e-19,2.27639964130372e-18,1.66510623146241e-18,0,0.000609256225588377,0.00309841356946684,0.00281494654279055
"Hepatocytes",0,0,0,0,0,0,0,1.34253447614603e-21
"HSC",2.16082056566544e-20,0,0,0.0161562790215991,2.48505464070924e-19,4.65825251016187e-05,0.0013381365016543,0.00743613197060171
"iDC",2.96119216209415e-20,0,0,1.79642441010937e-19,0,0,0.00499288653891581,0.00173092458711805
"Keratinocytes",0,3.61006169716337e-20,1.56819157607524e-20,2.94553937363314e-20,4.77668836610414e-20,0,7.99288257706325e-21,0
"ly Endothelial cells",0,5.82936955128034e-21,0,0,0,0,0,0
"Macrophages",0,0,0,5.79203224427652e-19,3.31414108758835e-18,7.53032284681152e-19,0,1.55805155324499e-19
"Macrophages M1",0,0,0.000165860951487647,0,0.000248230127815208,0,0,4.22053730496324e-19
"Macrophages M2",0.0033432076837876,0.0011058288547411,0.00199566869560623,0.00166584256506791,0.00139595510277688,0.00198465073903946,5.49514026956579e-20,0
"Mast cells",0.000584611491039169,0,2.27160096295371e-19,7.19667540589635e-22,0,0.000171052562431126,0.000286956641693465,0.000450474561754711
"Megakaryocytes",0,9.01836524647257e-22,4.33871158455436e-06,5.00647319035834e-20,2.33794729830461e-24,0,3.94712788190669e-05,5.48027111926282e-05
"Melanocytes",0.000266037300599572,0.000163411862506688,0.000262048694831261,0.000531443637935823,4.31409764274704e-21,0,0.000277079795022061,0.000136638161394698
"Memory B-cells",0,3.25424758238147e-19,0,1.05520213690787e-18,6.57889376649579e-21,1.04099602680552e-19,0,0
"MEP",0.0019714295890982,0.000874044394676102,0.00238788389786801,0.00442723760781661,0.00260827677044589,0,0.00515043986399844,0.00313936160956329
"Mesangial cells",0.000913022039804772,1.65238335479771e-19,0.00493924026760814,0.00142117318737236,0.00889446656732678,0.00655684145947662,0,0
"Monocytes",2.15980548565541e-19,9.44712515849633e-19,0,0,0,0,0,0
"MPP",0.0013646023212777,0.00210068857708036,0.00115769175652969,3.33557075359518e-18,0.00117642833999861,1.55540130845282e-20,8.56993316173851e-20,1.84829116741026e-18
"MSC",0.00650715134305166,0.00460138474508684,0.00316016221539263,0.0291760001699367,4.96065714209857e-19,0,0.0347339858242235,0.00532038159742125
"mv Endothelial cells",5.23850718514235e-21,0,0,8.61043910004102e-20,1.90336622415097e-19,0,7.88433155067847e-20,0
"Myocytes",1.04522585968978e-21,0.000197841517545904,0,0,0,0,0.00334313650538606,0.000522889299581362
"naive B-cells",8.61592012985095e-20,0,4.53579852335359e-20,1.60179123805897e-19,0,2.40215515840383e-05,4.31236367049085e-21,2.06205171285446e-19
"Neurons",0.000345347466036466,0.00019136010861343,0.000361856721908637,0.000372751722052211,0,0.000312491282030049,0.000272175791501738,8.67772974030042e-05
"Neutrophils",0,8.07537236781498e-20,4.6477982711847e-19,6.29545115988721e-19,3.0167645851766e-19,0,7.44514208528514e-21,7.2186563334374e-05
"NK cells",1.85132549626252e-20,7.39261453253488e-19,5.3493075072272e-20,1.56164129976237e-18,1.71635059759977e-19,0,0,3.32081248918535e-18
"NKT",0.0010917861627173,0.00202929940384509,0.00245517798967053,0.00479714898741035,0.00293996719276163,0,0.0100180376025892,0.00323787105160553
"Osteoblast",0.00945222610118918,0,0.015540610031036,0.0155980820624186,0,0.0140493440415563,0.0086458193027081,0.00605127363735063
"pDC",0.0129750853375755,0.0107719592377915,0.0138610800718844,0.0136851645115921,0.0222072379922352,0.00892504140946865,1.81452344436002e-20,2.41098676191297e-19
"Pericytes",3.6632722669187e-19,0,8.71403067538275e-19,0,1.39456497730605e-18,0.00562925896652466,1.03117048203194e-20,0.0233134920365106
"Plasma cells",1.26290830296127e-19,2.81102842577281e-20,1.54052006186094e-20,0,0.000224001524437708,8.22676301166526e-20,0.000791791053149646,0.000180068031586046
"Platelets",6.63636028919954e-19,3.05486309689351e-19,0,1.15294519974415e-18,0,4.88211794324643e-19,1.55273922191263e-20,4.71231411490528e-20
"Preadipocytes",3.81939105182408e-20,2.32154503991606e-19,0,1.60123943152072e-18,7.55696879612379e-18,5.38856579555174e-19,0,0
"pro B-cells",0.001026850232095,0.000496297049918106,1.16066807943424e-23,3.37492245470502e-18,1.12327825261124e-19,2.32332688723143e-20,0.00038532271836053,0
"Sebocytes",0,0,3.63102545319976e-22,0,7.23719799560617e-22,0,9.61371179471002e-21,0
"Skeletal muscle",0,1.58465671929968e-19,1.88177477055498e-19,2.09983382557198e-19,0,7.53668277071164e-19,5.07923964889571e-20,7.75890698137396e-20
"Smooth muscle",3.18735694494147e-19,0.0259389553270092,0.0348991996844466,0.0119520892819992,0.0347154937071168,0.0168726587593918,0,0.0312143895454936
"Tgd cells",0.000419355084033545,5.77868835948217e-20,0.000326281018283638,0,0.000260329830621483,1.12452340567514e-18,0,0
"Th1 cells",0.00252916679743893,1.39125114125101e-18,0,0,0.00124869082791772,5.46343270735727e-19,0.00165606154326276,0.00259368659222761
"Th2 cells",0.000806401697949337,0.00978632293883196,0,0,0.005388062107624,1.56818486751762e-18,9.54883964617155e-19,0
"Tregs",0,2.16004621195406e-19,0,1.22197365617068e-19,6.87639468552219e-19,0,0,0
"ImmuneScore",0.0467017227598763,0.0255661130870778,0.0253464835787095,0.00988412751528462,0.0300349501040078,0.0147686637488832,0.000191304427795643,0.000348440750059393
"StromaScore",0,4.6970887806567e-20,0.00803093681344295,4.62100186583108e-19,0.0268129327794397,0.00292013492342333,5.14412274002606e-19,0.011576310776836
"MicroenvironmentScore",0.0467017227598763,0.0255661130870778,0.0333774203921525,0.00988412751528462,0.0568478828834476,0.0176887986723065,0.000191304427795644,0.0119247515268954
