"","IBD7_fpkm","IBD7_1_fpkm","IBD8_fpkm","IBD8_1_fpkm","IBD10_fpkm","IBD10_1_fpkm","CtrlBF_fpkm","CtrlBF_1_fpkm","CtrlDM_fpkm","CtrlDM_1_fpkm","CtrlTL_fpkm","CtrlTL_1_fpkm"
"aDC",0,0.00486900578556502,0,2.57071686825346e-19,0.0803779821559985,0.0413659125072638,1.02031798096466e-21,0,0.00749457999188193,4.41657437170798e-20,0.0470184993083875,0.0178359074896728
"Adipocytes",8.02800341331765e-05,0.000535539170560525,9.37296952532736e-23,0.000273403614123609,0,0,0,0,0.000262443839646668,3.29334796366813e-21,0.000362100038889925,0
"Astrocytes",0.00442484138896177,0.0122068061491049,1.39862787214726e-19,0.000546687700934919,0.00255127278663799,0.00680400956791211,0,1.7580446031025e-19,0,0,0.00591463662642066,0.00341612153153934
"B-cells",0,1.55056202263473e-21,1.25215656255823e-20,0.000625924024018756,0,0.00120889899746228,0.00339721223576707,0.00167630766808438,8.78486716536043e-06,1.88677075587709e-19,0.00191897364075019,0.00146504955003923
"Basophils",0.00572307295064603,0,0.000471226040172384,1.7066897787031e-18,0.000771257584007627,0.00468331985461008,0.00558119264140623,0.00356470242434946,8.53185762531794e-19,0.0206602827892969,0,0.00893925715354288
"CD4+ memory T-cells",5.82985155426512e-22,0,2.45246622572981e-20,0,3.66841539179307e-20,0,2.87501301722513e-19,0.000253322403328888,0.000565913224148677,0,0.00328707496775896,0.000143193118843762
"CD4+ naive T-cells",1.09873575525703e-19,0,0,0.00565960742097036,0,5.63010836296387e-19,0.00263481698441117,1.44878384062216e-19,5.19900165256885e-19,0,1.48183496235222e-19,2.01188733156414e-19
"CD4+ T-cells",0,2.67491447579535e-20,0,0.00260715415127914,0,0,0.00185337362477105,1.08090015808215e-19,0.000377935828360249,8.82287776975599e-19,0.00192417760065965,0.000337282539994906
"CD4+ Tcm",0.00133477296987906,0,1.70287669845633e-19,0.000281016588729066,0,0,0.00409192547958933,1.66190930356872e-18,9.25250992085837e-08,3.47776932985835e-19,1.80323970248216e-19,2.96008252060761e-21
"CD4+ Tem",0.0130184224461457,0.0039640679808462,9.68031717479888e-19,0.0241059824614598,0.00187193234369082,0.0129265574820221,0.0548621037267411,0.0211284194816385,0.0205880326601058,0.00309690873616333,0.0393001212927469,0.00935987549642342
"CD8+ naive T-cells",8.24101644855061e-20,0,0,0,0.000121512524557695,0,0.00111448580519169,0.000231748852058503,0.00248828649415425,0.000472649488563326,0.000213681625674163,0.00112888419833588
"CD8+ T-cells",0,2.44252238214407e-19,0.000139977662596592,0.0111614677760692,0.0220532378842674,0.0203915140369423,0.036903926756223,0.0162788481878314,0.0175637160967353,0.00117224305224551,0.0184773831856159,0.00465474336968948
"CD8+ Tcm",0,0,1.08019388985404e-20,0.00831158518008138,0.0191926148165108,0.0177814606543139,0.0340956327418092,0.0169321278231364,0.0144412190809292,0.00270895796385867,0.0211901277223935,0.00407492265731137
"CD8+ Tem",0,0,1.63553813017403e-20,0,0.0256611342441125,0.0166515547527166,0.00940780129122121,0.00396854836427114,0.00616478629359229,0,0.011550128104575,0.001595621243815
"cDC",0.00015051394909899,6.27322265629234e-05,0.000372257857046011,0,7.48672581017915e-21,1.02742946771844e-19,1.49104051729819e-20,5.99498882197402e-20,1.62341674587147e-20,0.000810882064995247,0,0
"Chondrocytes",0,0.0074543561101464,0.000835595732076515,0.00600053714449142,0.000629091091154009,0.00161579218188595,0,0,0.00328347472617008,0,0.00292705091138989,0.00095160893158068
"Class-switched memory B-cells",0.000438976181593423,0.000506124153306635,0.000356131301079286,2.25340261239323e-19,0.00019514592090006,0.000178834367183841,3.88453953964645e-19,0.000264553081640827,0.00181871737287705,0,1.73863884405701e-19,0.00177621658442504
"CLP",0.000989106558982316,2.43430233243765e-20,0,0.000364990441104016,0.00143871876214924,0.000515840461276404,0,0.00155830099918283,0.00171797238417236,7.965203693633e-20,0.00156908510950921,0.000672578018672616
"CMP",0,0.000105530471282939,0.000423229645001442,6.85836412904311e-05,9.47032707639368e-20,1.80930420448659e-20,0,0.00192365377694273,0,8.34734111919125e-20,3.2238421696921e-19,0
"DC",6.52979632505866e-20,6.18364430605899e-06,0.00095351276994325,0,0.000358636616876756,2.39607683344318e-21,0,0,0,2.87251954430726e-20,0.0010716626526367,0.000132481485867663
"Endothelial cells",5.28637570015404e-06,0,0,0,0,0,0,0,0,0,2.29616914486818e-20,5.96082353577889e-21
"Eosinophils",2.05078899562412e-19,1.27894083665087e-20,2.19207072574886e-20,2.99536766527089e-21,3.31242334165234e-19,0,0,0,0,6.50112560328284e-19,5.41806284774931e-19,1.21460665869636e-19
"Epithelial cells",9.47232964846029e-20,1.16005737470769e-19,4.55125544411997e-21,0.000173225131831541,2.93171852442612e-20,3.00290177666583e-19,0,0,4.48741457520595e-22,1.25850045839422e-19,0,4.48160509917004e-20
"Erythrocytes",3.27438890268952e-20,6.138634612895e-06,3.68346625815366e-06,0,3.01112015692348e-20,0,0,0,1.5923013298322e-20,0,1.30581403974925e-19,0
"Fibroblasts",0.0257416529609796,0.0503212902765177,0.0204369767993143,0.0263077013346627,0.0547277598089251,0.0346135627768194,0,0,0.0184100280131997,0,0.0533661043318244,0.00707869158364824
"GMP",7.45645645726664e-20,0.00170530195692202,0.00446400789311263,8.35856931050269e-21,0,0,1.04521764818832e-19,0,6.83128919931761e-20,1.77482736399138e-18,0,2.92294102322429e-20
"Hepatocytes",0,0,0,2.90689480115277e-19,0,0,1.82147793963683e-19,2.32133636732638e-20,5.73299038251662e-19,0,0,1.38917178578232e-20
"HSC",3.17295040682801e-05,0.00164769255731252,0.00280368859668555,0.000966671493011854,0.0244078772228611,0.00077659542236282,9.4352119646515e-21,0,0,0.0133745458884436,5.9531052587555e-19,0
"iDC",0.000400350584271923,0.00589512972442788,0.013666904807151,0.000705273371880662,0,0,5.73391882605161e-20,6.10418907902496e-22,0,0.000524243692419529,0,0
"Keratinocytes",0,1.88371530189927e-20,2.65245916380016e-21,0,5.54783861445661e-23,0,5.78132573421381e-20,1.75505771824422e-20,2.53938978931921e-20,4.38079230340555e-19,0,0
"ly Endothelial cells",0,3.40775328479745e-05,0.000108032093935368,7.36283149644288e-20,2.85750582492397e-21,0,6.26967295346588e-23,0,2.73709674852508e-20,1.35482982984876e-20,0,0
"Macrophages",0,1.29619740053252e-19,7.41078651711194e-20,1.49500503901169e-19,0,2.26866308458337e-19,1.46216948326568e-19,2.43614764557144e-20,0,0,4.56354625520735e-21,1.10791617424643e-20
"Macrophages M1",2.93993966492472e-19,0.000366617968020217,5.82879952329582e-20,0,0.000213910875909157,0.00033812505400423,2.6874658515461e-19,1.87530070841665e-19,6.39843394900608e-05,0,0.000212427337896197,1.41120259898015e-19
"Macrophages M2",0.000460035929292615,0.000659950878969842,7.25555677104317e-21,7.74259063120178e-05,0,0,0.00110879342785759,0,0.000256185330104971,0,1.85761147844733e-05,0.000342061183866885
"Mast cells",1.96284289834761e-22,9.20490743109554e-05,0.000116250086997624,2.3025748478741e-19,0.000216203999055255,0,0.000426324736889995,2.12569326594734e-05,0,0,0,0.000326123279034998
"Megakaryocytes",0,0,0,1.31827532175638e-20,0,0,1.49917480059863e-20,8.91465885054349e-21,7.67516931928531e-06,0,0,6.59276061132693e-21
"Melanocytes",2.88815090347899e-21,0,5.27408932387783e-20,7.58844632735885e-19,9.77211587638903e-20,2.14913869963721e-20,4.67298409636961e-05,4.32649823503224e-05,0,0.000291371944631495,0,1.50006334189792e-19
"Memory B-cells",3.5068488284896e-19,6.10322225100167e-20,1.52142282320177e-05,8.29741180536879e-20,2.16603431927255e-18,0,1.06826335185289e-19,2.07497981570612e-19,0,0,0,2.6502331912734e-20
"MEP",0.00166532180491681,0.000796627886913247,0.00172122218507949,0.000599530168189265,0.0027852313500656,0.000963618824615694,0.00174489668149364,0.000810262569874477,0.00295067752056825,0.00384102503083393,0.00278407257761746,0
"Mesangial cells",0.00846855355066261,0.00788207200279089,0.00498755158891777,0.00578395659070598,0.00676209894152143,0.00786650040513923,0.000750559954436743,0,0.00534478846980883,0.00186277326385277,0.00842121463319748,0.00720067199919259
"Monocytes",8.86144081957282e-19,6.34901192094284e-20,1.22189756334646e-20,0,3.85831127904138e-19,0,4.07245317604177e-19,0,0,1.9866505090315e-18,0,0
"MPP",1.90375512802691e-20,0,4.51599466713952e-20,0,0,0,1.16934426569063e-19,0.000406497587499209,0.000165321381759042,0,0,2.64192798150237e-19
"MSC",0.0269227809993084,0,6.73820751634988e-19,1.78700446671341e-19,2.08278115805465e-18,1.71381878345758e-18,0.00726725156383957,0.00239164682500178,0.00127892883220057,0.0252689010086737,1.70391245730763e-18,0
"mv Endothelial cells",5.65262988488359e-19,4.62294874234832e-20,0,1.40868226351777e-19,0,5.69551718772266e-20,0,1.2181369764298e-19,1.0075722803394e-19,0,1.40629845917597e-19,2.49444239465257e-20
"Myocytes",0.000796905837364703,0.0116687766515429,0.00129447854629396,0,0,0,9.86371963076443e-20,0.00011819195410405,0,0,5.7733230627922e-19,0
"naive B-cells",0,3.66833879112618e-22,0,4.44910751755398e-21,6.89365623480092e-19,0,0.000135785688591593,3.13940904195567e-20,2.40766365779253e-19,0,2.38169814946366e-21,0
"Neurons",0.000121574853910601,1.04290849605305e-05,0.00021432259654921,0.000136718857607182,0,2.90318578883953e-05,0.000353276118852671,0.000202897561132487,0.00037231004489186,0.000384500677843642,0,0.000318565429034492
"Neutrophils",0,0.000235835706254867,0.000170569937948795,0,2.06019780260987e-20,2.09884176320043e-21,0,1.71713873808404e-19,2.3456511857165e-19,0,6.72538241071742e-20,1.02948753541552e-19
"NK cells",3.20782678584071e-19,0,5.58153801254183e-19,0,0.0131832163347639,0.00125587737147039,0,5.48753642544583e-19,2.76359794019189e-19,1.13075922637084e-18,4.65899161802579e-20,0
"NKT",0.00336447976095877,0.00360140922460934,0.00283113392619053,0.00958423357339699,0,0.000296235128402859,0.0012131817995398,0.00217939133138132,0.00272481017534804,0.00491118230262873,0.00217842854747596,0
"Osteoblast",0.0138176861921632,1.53443693159129e-19,0.0238824350001205,1.52047017057623e-19,0.00501728566310065,0.015387729778169,0.00908249908089502,0,0.0162519640475174,0.016352391058198,0,0.0143383341252458
"pDC",0,7.09646930700562e-21,0,2.45701130399946e-20,0.0184592225224178,0.00999934967921073,0.00304391614479628,0.00257736206648216,0.0042568917381587,0.00381067045981911,0.00860572222353755,0.00189388856980043
"Pericytes",0.0126639907761601,0.0101776824629976,0.00360100599290883,1.19219641048647e-19,0.00701723597580353,0.00270299696705589,0,0,1.32780935581823e-19,0,0,0.00424651598403111
"Plasma cells",0,0.0001513038116548,0,2.3752972443999e-06,2.24723748078381e-19,1.04847239685108e-19,0,0,0,8.72169379864276e-20,0.00078292350868224,3.48150809879119e-05
"Platelets",9.50108875110025e-20,6.69965500246786e-20,8.64053262143944e-20,1.38870209257546e-19,1.15815733986821e-18,6.52104405620082e-21,0,1.88261381807893e-05,0,0,6.85827167135909e-19,0
"Preadipocytes",0,0,0,0,3.49226844884325e-18,0,4.04810815711445e-20,1.56261799203553e-20,0,6.38882951790893e-18,0,4.78230568495954e-19
"pro B-cells",0.00128468476488326,5.31726121081623e-20,0.000929660757676049,2.229006778984e-05,0,7.80886297204425e-05,0.00211174215229408,0.00174202657268527,0.000142459068100144,1.53844849764429e-19,4.79776368930076e-05,7.12203502901562e-05
"Sebocytes",1.20759700016982e-19,5.77753747799355e-21,1.9085668832042e-20,1.85012920549987e-20,6.21681608920284e-21,2.06278842581626e-20,0,3.34363610230739e-21,0,5.265048344087e-20,1.65830162717363e-21,0
"Skeletal muscle",3.81487040576241e-19,2.58475595124096e-06,0,2.17288374829034e-18,3.24630055615153e-19,1.03452039133562e-18,4.48329663192422e-19,0,1.48257593124166e-19,0,4.65261113545177e-19,3.43693159773503e-19
"Smooth muscle",0.0294844709315524,0.0371709263067206,0.0328520315541036,0.0273360708095864,0.0514676041338401,0.0301127963724137,4.52077980059848e-20,0.0249139524857588,0.0305101799682636,0.0113092314727968,0.0304530936786141,0.015104422234843
"Tgd cells",1.20443584582542e-19,0,8.42066505080401e-19,0,0.000328839086552196,0,0.000365296375615504,0,1.49326178077175e-05,0,0,3.2476238247804e-20
"Th1 cells",0.000296616892333387,0.000184633187243396,0.00181400475807182,4.76828052872979e-20,0.00988734032181782,0.00572829560841065,0.00251275797784898,3.83077901005104e-19,2.1545414535249e-19,0.000365612231672192,0.000981166611952973,0
"Th2 cells",0.000439511597722547,0.000670823266099399,0.000132186820332062,1.25657184036901e-19,0.000613282335771196,0.00374500851075711,0.00492529971652475,0.0131426206341279,0.0031306701605013,0.00114119435047083,0.00982791896720953,5.6617182105079e-19
"Tregs",2.00884206544137e-19,4.55996185481195e-20,1.03509510600731e-23,4.85178603174819e-19,0,4.09108423665996e-19,0,1.30015801463045e-18,0.000496186751669809,0,0,0.00226657140929912
"ImmuneScore",9.84999938429458e-19,0.000222712283247921,0.000920206971657508,0.00959636396757806,0.0238741965566422,0.0152375269372499,0.0283872249024341,0.0119842751923835,0.0119669578615073,0.000781495368163676,0.0155947980531083,0.00461045348308419
"StromaScore",0.0129136096854065,0.0254284147235391,0.0102184883996571,0.0132905524743932,0.0273638799044626,0.0173067813884097,0,0,0.00933623592642319,1.64667398183407e-21,0.0268641021853572,0.00353934579182412
"MicroenvironmentScore",0.0129136096854065,0.025651127006787,0.0111386953713146,0.0228869164419712,0.0512380764611048,0.0325443083256597,0.0283872249024341,0.0119842751923835,0.0213031937879305,0.000781495368163676,0.0424589002384655,0.00814979927490831
