"","MN7_with_T_fpkm","RN4_with_T_fpkm","RN4_with_T_1_fpkm","MN7_wo_T_fpkm","MN7_wo_T_1_fpkm","RN4_wo_T_fpkm","RN4_wo_T_1_fpkm"
"aDC",0.00357862621943394,0.015896226070207,0.00582100268547087,0.00106036553810424,0.00294322474400643,4.05297295023183e-19,0.000725324430224451
"Adipocytes",1.95701058609611e-20,0,4.83835935590194e-05,4.0349302878852e-20,0,0.0016619786396311,0.000427514054171547
"Astrocytes",3.36983433901092e-20,0,0,0,4.84056036380545e-19,0,3.42335449868803e-19
"B-cells",0.000288056095812086,1.11845915317833e-20,0,3.5750909017258e-20,0,0,3.20736116878932e-19
"Basophils",0.00296913354810975,1.81926565755785e-18,2.91669063426798e-19,0.0104170178856599,0.00300855526757857,1.18329534797995e-18,0
"CD4+ memory T-cells",3.05833131973836e-20,0,0,6.85982975954463e-20,0,0,1.98686652140008e-19
"CD4+ naive T-cells",2.44011520424715e-20,3.31278956724823e-20,0,0,1.32339288631708e-20,4.2067221676945e-19,5.41107375310547e-20
"CD4+ T-cells",0.000538634877306892,8.46727745590023e-20,0,5.64890083658623e-20,0.00071399241423525,0,0
"CD4+ Tcm",0.00799268627698838,0,2.42628001027652e-19,0.00564859668944807,0.00643522622021134,0,3.82347254435636e-20
"CD4+ Tem",5.06340440675761e-20,0.00152248294402369,0.00201690611530204,0,1.23459969219073e-21,0,0
"CD8+ naive T-cells",0.000278375229155565,0,0,1.28299854986397e-20,0.00028453610149708,2.37437096106747e-20,0
"CD8+ T-cells",0.004584194471502,5.82738188121233e-21,0.000103196279150493,3.79358471447881e-19,0.000329845496522497,0,0
"CD8+ Tcm",0.00277152432880154,0.00176946682215022,0.00186382877141951,7.37154166421522e-19,2.01410941207772e-19,0,0
"CD8+ Tem",0.000837912428855266,7.75371355035595e-25,0,0,7.70902243683579e-20,0,0
"cDC",0.00102382481045114,0.000302683553104169,3.33739699339277e-21,1.17576045346507e-19,0,0.000767133317495108,0.00111071544667823
"Chondrocytes",0,0,9.00498394877375e-19,3.07902242588433e-19,0,0.0132096704181006,0.0177817681386054
"Class-switched memory B-cells",0.00084971150872321,2.70910396107752e-19,0,0.00213001980627109,0.00332847572569377,0.000169281818978931,0.000141254455427825
"CLP",0.000767913646613041,0.0012389914531093,0.00152136292029265,0.000621876027310359,0,0.00322007889344482,0.00488602087435004
"CMP",0.000264930442467961,0,1.77428609646308e-19,0.000839602779916773,0.00174280981274553,2.29713863386319e-21,0
"DC",0,8.88131638591335e-22,0,7.59834172271048e-21,6.9530663341696e-05,0,0
"Endothelial cells",0,0,9.31352651870003e-19,0,0,4.46746548873542e-19,0
"Eosinophils",0,7.0235054301409e-20,0,3.63718751744991e-20,0.000283088556844581,4.59292607169863e-19,3.24617714797771e-20
"Epithelial cells",0,0.000184188989564938,2.59723431672883e-05,8.07444588777928e-21,2.0523691965171e-20,0,0
"Erythrocytes",0,0,0,7.99843337574609e-20,0,0,0
"Fibroblasts",0.000872705738370188,0.0119776546462087,0.0183174613166183,5.32635928292438e-19,0.00133877053753546,0.0712564763483698,0.0601452547859767
"GMP",3.76391282608904e-19,0,1.99258862293758e-19,4.77212230376383e-19,7.98184286370477e-21,2.13812942680689e-19,1.40177666440746e-18
"Hepatocytes",7.01968278000472e-05,1.43403707135499e-19,5.07398859592448e-19,0.000136870932816024,0.000108174513027194,3.56538362177912e-19,1.17848721702331e-18
"HSC",0.000210381812255056,0.00782938665230653,0.00514578328150018,7.00364792201132e-20,0.000146072878550018,0.0167337309690078,0.0182206427904895
"iDC",0,1.43997496626891e-18,0.000158239031561684,0.00237677737987863,0.000780729953019179,1.13699260153629e-19,0.00115221918338209
"Keratinocytes",3.91822520398955e-20,1.45358546917189e-20,0,0,0,2.45852028193284e-21,1.40096852357097e-22
"ly Endothelial cells",0,0,0,7.94636395162431e-21,3.96670533442289e-21,0,0
"Macrophages",7.38752620096086e-20,0.000211643214504652,0.000225560009139129,3.55107736395911e-19,0,0,0.000123963678627252
"Macrophages M1",1.80857710205847e-22,0.000356403959549025,0.000640799287973635,0,0,0.00179605784087748,0.00108098040268922
"Macrophages M2",0,0.000708249597473893,0.000570522582885517,1.77675392521484e-20,4.70495877806796e-20,3.49521778378073e-20,4.18296664381836e-20
"Mast cells",0.000244857330599766,2.73963072639851e-20,0,4.91295522374608e-05,0,0,0
"Megakaryocytes",6.38519332599219e-21,0,1.17888272627317e-20,0,4.03720571873733e-21,6.46698004715556e-22,3.81598983512071e-06
"Melanocytes",4.45152423069296e-05,0.000320211512702334,8.53799267155075e-05,0,6.87312754766046e-05,0,1.85145813800939e-19
"Memory B-cells",6.34395611300168e-05,2.69977371042784e-19,0,0.000216313418425074,0.00080402615410061,7.61242982271385e-19,7.90683598874335e-19
"MEP",0.00092834874318448,0.0090096899067813,0.00512302002247294,0,0,0.00177926407783154,0
"Mesangial cells",3.18683914648556e-20,0,7.12515416166662e-19,0.000411957751153365,8.34864222513502e-20,0.00621146457767093,0.00579269671350518
"Monocytes",0,8.69661006189024e-19,5.05029860814412e-19,0,6.17348066551706e-19,0,8.26715154155934e-19
"MPP",0,1.90367762229376e-18,0,9.81115886464523e-21,8.19126885984645e-21,2.14528824033589e-18,0
"MSC",0.00298397733237886,0.0178450227497374,0.00177307454640636,0,0.00311157429893382,0.00325386232837716,5.08971932132298e-19
"mv Endothelial cells",0.000122721332711524,2.83187796565323e-19,2.03780510187268e-19,0,1.17649662622143e-20,1.13226460659827e-18,8.76874072772976e-20
"Myocytes",0,1.12286402733422e-21,4.23575986055805e-19,0.000321763621776537,0.000560645672421298,0.00525719925979097,0.00337416530020833
"naive B-cells",0,0,0,8.89785945890219e-21,2.58315062054386e-20,1.45977651853061e-18,6.87999127979565e-19
"Neurons",0.00013618022410079,0,2.90335479158084e-06,0.000461322792760594,0.000428807691966914,0,0
"Neutrophils",2.29288466166832e-21,0,0,0,3.3881317890172e-21,7.15030690558447e-19,0
"NK cells",0.000358628591508559,3.0331689139201e-20,6.13370648857805e-19,4.80594067350095e-19,3.4135956180266e-20,0,1.00393075931093e-19
"NKT",0,0.0113573237210442,0.0139107683927512,0.0018650067128853,0.00234995299034217,0.00645905391456352,0.000139128231857542
"Osteoblast",0,0,0,1.47094582445926e-20,0,0,0
"pDC",0.00170580669606556,0.00165578210147793,0.00102369565263785,0.00110010445842503,0.0013090064398746,2.02170310289984e-19,1.12056641572197e-18
"Pericytes",0.000125071508672638,0,1.18610975870511e-18,0.00204907710468604,0.00624755140010687,1.4716624953397e-19,0
"Plasma cells",0.000286389889176109,0,0.000277220452316724,0.000103954064199151,0.000830351859654944,0.000929737793561444,0.00132701415589382
"Platelets",1.38216458442768e-19,6.73268577876169e-19,0,2.1955314932074e-19,0,3.63029470382982e-19,3.0490997031166e-19
"Preadipocytes",0.00261404591995069,1.8919372407675e-20,0,4.75358058098239e-19,0.00490826785067469,0,0
"pro B-cells",0.000522986862468916,0,0,0.000930907089472131,0.00086448516606846,1.15295493589864e-18,0
"Sebocytes",7.09932518027932e-23,3.24414260228665e-21,0,0,0,0,0
"Skeletal muscle",1.24155196333868e-20,0,4.40100435912523e-19,1.27525411709426e-19,3.00227273585345e-20,2.06691326096059e-18,2.74072319427779e-18
"Smooth muscle",1.02566439263809e-19,0.0553171356062035,0.05555358245012,0.00570409432310846,0,0.0760781039656348,0.0786909052138559
"Tgd cells",4.3224736473054e-19,6.20114806634019e-19,0,6.4405639756691e-20,0,0,5.59550514521826e-21
"Th1 cells",9.39371059281485e-05,0.000436056830514189,0.000463704730887317,0.000168798948092786,0.000837113076114856,0,3.06853754890491e-20
"Th2 cells",0,0,0,0.000196040919130592,6.27140387310724e-20,0,0
"Tregs",0.00483242331889025,0.00230978568151224,0.00362082152440351,0.000791806338884812,0.00141183333925775,0,4.04618040939443e-19
"ImmuneScore",0.00400958091115287,0.000141095476336435,0.000219170858859748,3.27530348249748e-05,0.00093097142062935,7.8288219848554e-19,8.2642452418169e-05
"StromaScore",0.000436352869185094,0.00598882732310434,0.00918292245508866,2.86492615585645e-19,0.000669385268767731,0.0364592274940005,0.0302863844200741
"MicroenvironmentScore",0.00444593378033797,0.00612992279944078,0.0094020933139484,3.27530348249751e-05,0.00160035668939708,0.0364592274940005,0.0303690268724923
